"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"Bentley University","Massachusetts","Waltham",9,"Emerging Leaders MBA - Business Analytics","M","Graduate School of Business","Campus","55 Credits","Not Available","http://www.bentley.edu/graduate/concentrations/business-analytics",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Emerging Leaders MBA - Information Systems and Technology","M","Graduate School of Business","Campus","55 Credits","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/application-process",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Graduate Certificate in Business Analytics","C","Graduate School of Business","Campus","12 credits","Not Available","http://www.bentley.edu/graduate/mba-programs/elmba/curriculum",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Graduate Certificate in Marketing Analytics","C","Graduate School of Business","Campus","15 Credits","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Master of Business Analytics","M","Graduate School of Business","Campus","33 credit hours","Not Available","http://www.bentley.edu/graduate/concentrations/information-systems-technology",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Master of Science In Marketing Analytics","M","Graduate School of Business","Campus","33 credit hours","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/application-process",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Masters of Information Technology","M","Graduate School of Business","Campus","39 Credits","Not Available","http://www.bentley.edu/graduate/mba-programs/elmba/curriculum",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Part-Time Professional MBA - Business Analytics","M","Graduate School of Business","Campus","45 Credits","Not Available","http://www.bentley.edu/graduate/admission-financial-aid/tuition-financial-aid",42.3888,-71.2201
"Bentley University","Massachusetts","Waltham",9,"Part-Time Professional MBA - Information Systems and Technology","M","Graduate School of Business","Campus","45 Credits","Not Available","http://www.bentley.edu/graduate/special-programs/graduate-certificate-programs",42.3888,-71.2201
"Boston University","Massachusetts","Boston",6,"Applied Business Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/",42.3496,-71.0998
"Boston University","Massachusetts","Boston",6,"Data Analytics Graduate Certificate","C","Department of Administrative Sciences","Online or On Campus","16 Credits","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998
"Boston University","Massachusetts","Boston",6,"Master of Science in Applied Business Analytics Management","M","Metropolitan College","Online","48 credits","Not Available","http://www.bu.edu/met/courses/graduate/analytics/",42.3496,-71.0998
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Information Systems - Data Analytics Concentration","M","Department of Administrative Sciences","Online or On Campus","40 Credits","Not Available","http://www.bu.edu/met/admissions/tuition-and-fees/",42.3496,-71.0998
"Boston University","Massachusetts","Boston",6,"Master of Science in Computer Science - Data Analytics Concentration","M","Department of Administrative Sciences","On Campus","40 Credits","Not Available","http://www.bu.edu/met/programs/graduate/data-analytics-certificate/",42.3496,-71.0998
"Boston University","Massachusetts","Boston",6,"MS in Statistical Practice","M","College of Arts & Sciences","Campus","32 credits (1.0 to 1.5 years)","Not Available","http://www.bu.edu/met/admissions/apply-now/certificate-programs/",42.3496,-71.0998
"Brandeis University","Massachusetts","Waltham",2,"M.S. in Strategic Analytics","M","Graduate Professional Studies","Online","30 credit hours","Not Available","https://www.brandeis.edu/gps/future-students/learn-about-our-programs/strategic-analytics.html",42.3649,-71.2547
"Brandeis University","Massachusetts","Waltham",2,"Master of Arts in Computational Linguistics","M","Mitchom School of Computer Science","Campus","Two years","Not Available","https://www.brandeis.edu/gps/future-students/Get-started/apply-for-admission.html",42.3649,-71.2547
"Harvard University","Massachusetts","Cambridge",3,"Data Science Certificate","C","Extension School","Campus","4 courses","Not Available","http://www.extension.harvard.edu/professional-certificates/data-science-certificate",42.3744,-71.1182
"Harvard University","Massachusetts","Cambridge",3,"Master of Science in Computational Biology and Quantitative Genetics","M","School of Public Health","Campus","80 credits/18 months","technical bachelor's degree","http://www.extension.harvard.edu/tuition-enrollment/course-registration",42.3744,-71.1182
"Harvard University","Massachusetts","Cambridge",3,"Master of Science in Computational Science and Engineering","M","School of Engineering and Applied Sciences","Campus","1 year","Not Available","http://www.extension.harvard.edu/professional-certificates/data-science-certificate",42.3744,-71.1182
"Massachusetts Institute of Technology","Massachusetts","Cambridge",1,"Master of Business Analytics","M","Sloan School of Management","Campus","1 Year","math, statistics, computer science","http://mitsloan.mit.edu/master-of-business-analytics/",42.3601,-71.0921
