"SCHOOL","STATE","CITY","NOC","PROGRAM","TYPE","DEPARTMENT","DELIVERY","DURATION","PREREQ","LINK","LOC_LAT","LOC_LONG"
"University of Alabama at Birmingham","Alabama","Birmingham",1,"Master of Science in Management Information Systems","M","Collat School of Business","Online","30 Credits","Not Available","http://businessdegrees.uab.edu/mis-degree-masters/",33.5022,-86.8092
"Auburn University","Alabama","Auburn University",1,"Online Master of Business Administration with concentration in Business Analytics","M","Raymond J. Harbert College of Business","Online","36 credit hours","Not Available","http://harbert.auburn.edu/academics/online-programs/mba-online/index.php",32.6002,-85.4924
"The University of Alabama","Alabama","Tuscaloosa",4,"M.S. degree in Applied Statistics, Data Mining Track","M","Manderson Graduate School of Business","Campus","30 hours","math, computer science","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics",33.2144,-87.5458
"The University of Alabama","Alabama","Tuscaloosa",4,"Master of Science in Marketing, Specialization in Marketing Analytics","M","Manderson Graduate School of Business","Campus or Online","9 months/30 hours","Not Available","http://manderson.cba.ua.edu/admissions/application_requirements/",33.2144,-87.5458
"The University of Alabama","Alabama","Tuscaloosa",4,"MBA with concentration in Business Analytics","M","Culverhouse College of Commerce","Campus","2 years","Not Available","http://manderson.cba.ua.edu/academics/departments/masters_program/master_of_science_in_applied_statistics",33.2144,-87.5458
"The University of Alabama","Alabama","Tuscaloosa",4,"MS in Operations Management - Decision Analytics Track","M","Manderson Graduate School of Business","Online","30 credit hours","Not Available","http://cost.ua.edu/",33.2144,-87.5458
"University of Alabama in Huntsville","Alabama","Huntsville",1,"Master of Science in Management Science - Business Analytics (MSMS-BA)","M","College of Business Administration","Online or campus","30 credit hours","Not Available","http://www.uah.edu/cba/grad/degrees/analytics",34.7228,-86.6384
"Arizona State University","Arizona","Tempe",1,"Master of Science in Business Analytics","M","W.P. Carey School of Business","Online or Campus","9 month (FT) or 16 month (online)","Not Available","https://programs.wpcarey.asu.edu/masters-programs/business-analytics",33.4219,-111.94
"University of Arizona","Arizona","Tucson",3,"Business Intelligence & Analytics (Certificate NDP)","C","Management Information Systems (MIS) Department, in association with t","Online","9 credits","Not Available","http://grad.arizona.edu/programs/programinfo/BIACRTG",32.2321,-110.951
"University of Arizona","Arizona","Tucson",3,"Master's in Management Information Systems","M","Eller College of Management","Campus","33 Credits","computer science","http://grad.arizona.edu/programs/programinfo/BIACRTG",32.2321,-110.951
"University of Arizona","Arizona","Tucson",3,"Online Master's in Management Information Systems","M","Eller College of Management","Online","33 Credits","computer science","https://misonline.eller.arizona.edu/certificates/business-intelligence",32.2321,-110.951
"University of Arkansas","Arkansas","Fayetteville",3,"Graduate Certificate in Business Analytics","C","Sam M. Walton College of Business","Campus","12 hours","Not Available","http://gsb.uark.edu/business-analytics-certificate/",36.0615,-94.1782
"University of Arkansas","Arkansas","Fayetteville",3,"Master of Information Systems with Business Analytics Concentration","M","Sam M. Walton College of Business","Campus","30 credit hours","computer science","http://gsb.uark.edu/graduate-certificates/business-analytics.php#admissions",36.0615,-94.1782
"University of Arkansas","Arkansas","Fayetteville",3,"Professional Master of Information Systems","M","Sam M. Walton College of Business","Online (one Saturday per month on-campus)","21 months/30 hours","Not Available","http://gsb.uark.edu/master-of-information-systems/mis-enterprise-certificate/certificate-curricula/",36.0615,-94.1782
"University of California-Berkeley","California","Berkeley",3,"Online Master of Information and Data Science (MIDS)","M","School of Information","Online","27 units","Not Available","http://datascience.berkeley.edu/academics/academics-overview/",37.8715,-122.26
"University of California-Berkeley","California","Berkeley",3,"Master of Engineering - Concentration in Data Science & Systems","M","Fung Institute for Engineering Leadership","Campus","1 year","computer science, math","https://datascience.berkeley.edu/admissions/admissions-requirements/",37.8715,-122.26
"University of California-Berkeley","California","Berkeley",3,"Master of Information Management and Systems","M","School of Information","Campus","48 unit","Not Available","http://datascience.berkeley.edu/academics/curriculum/",37.8715,-122.26
"University of San Francisco","California","San Francisco",1,"Master of Science in Analytics","M","College of Arts and Sciences","Campus","38 units / 1 year","statistics, math","http://www.usfca.edu/analytics/",37.7756,-122.451
"California State University-East Bay","California","Hayward",1,"Master of Science in Business Administration: Business Analytics Option","M","College of Business and Economics","Campus","45-53 units","computer science","http://www20.csueastbay.edu/cbe/msba/index.html",37.6571,-122.058
"California State University-Fullerton","California","Fullerton",3,"Certificate in Data Science","C","University Extended Education","Online","5 courses","technical bachelor's degree","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885
"California State University-Fullerton","California","Fullerton",3,"Certificate in Health Care Analytics","C","University Extended Education","Campus","9 credits","Not Available","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885
"California State University-Fullerton","California","Fullerton",3,"Master of Science in Information Systems and Decision Sciences","M","Mihaylo College of Business and Economics","Campus","18 months/30 hours","Not Available","http://extension.fullerton.edu/ProfessionalDevelopment/Certificates/Data-Science",33.8836,-117.885
"California State University-Long Beach","California","Long Beach",1,"Master of Science in Applied Statistics","M","Department of Mathematics and Statistics","Campus","30 units","math, statistics","http://www.csulb.edu/divisions/aa/catalog/current/cnsm/mathematics/mathms05.html",33.7828,-118.112
"California State University-San Bernardino","California","San Bernardino",1,"Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus","M","College of Business and Public Administration","Campus","60 units","Not Available","http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/",34.183,-117.323
"Chapman University","California","Orange",3,"Doctorate in Computational and Data Sciences","M","Schmid College of Science & Technology","Campus","70 Credit Hours","math,statistics,computer science","http://www.chapman.edu/scst/graduate/phd-computational-science.aspx",33.7937,-117.851
"Chapman University","California","Orange",3,"Doctorate in Computational and Data Sciences","M","Schmid College of Science & Technology","Campus","70 - 73 Credits","math,statistics","http://www.chapman.edu/scst/graduate/phd-computational-science.aspx",33.7937,-117.851
"Chapman University","California","Orange",3,"Master of Science in Computational and Data Sciences","M","Schmid College of Science & Technology","Campus","31-34 credits","math, statistics","http://www.chapman.edu/scst/graduate/phd-computational-science.aspx",33.7937,-117.851
"Claremont Graduate University","California","Claremont",1,"Masters of Science in Information Systems & Technology: Concentration in Data Science & Analytics","M","Center for Information Systems and Technology (CISAT)","Campus","36 units","Not Available","http://www.cgu.edu/pages/6650.asp",34.1038,-117.712
"National University","California","La Jolla",2,"Master of Science in Data Analytics","M","School of Engineering, Technology and Media","Campus","54 units","Not Available","http://www.nu.edu/OurPrograms/SchoolOfEngineeringAndTechnology/ComputerScienceAndInformationSystems/Programs/MasterofScienceinDataAnalytics.html",32.9095,-117.244
"National University","California","La Jolla",2,"Master of Science in Health and Life Science Analytics","M","School of Health and Human Services","Campus","58.5 units","Not Available","http://www.nu.edu/Admissions/Graduate/AdmissionsChecklist.html",32.9095,-117.244
"San Jose State University","California","San Jose",1,"Online Business Analytics Certificate","C","Lucas Graduate School of Business","Online","12 units","statistics","http://www.sjsu.edu/lucasschool/bacertificate/",37.3352,-121.881
"Santa Clara University","California","Santa Clara",3,"Master of Science in Business Analytics","M","Leavey School of Business","Campus","50 Credits","statistics, math","https://www.scu.edu/business/ms-business-analytics/",37.3527,-121.938
"Santa Clara University","California","Santa Clara",3,"Master of Science in Information Systems","M","Leavey School of Business","Campus","51 Credits","Not Available","https://www.scu.edu/business/ms-business-analytics/prospective-students/application-checklist/",37.3527,-121.938
"Santa Clara University","California","Santa Clara",3,"MBA with concentration in Data Science and Business Analytics","M","Leavey School of Business","Campus","70 units","Not Available","https://www.scu.edu/business/ms-business-analytics/curriculum/",37.3527,-121.938
"Stanford University","California","Stanford",6,"Biomedical Informatics MS Degree","M","School of Medicine: Department of Biomedial Informatics","Campus","45  hours required","math, statistics, computer science, biology","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182
"Stanford University","California","Stanford",6,"Data Mining and Applications Graduate Certificate","C","Center for Professional Development","Online","9 units of credit","math","http://biosciences.stanford.edu/prospective/how-to-apply/",37.4317,-122.182
"Stanford University","California","Stanford",6,"M.S. in Statistics: Data Science","M","Department of Statistics","Campus","45 credits","math, statistics","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults",37.4317,-122.182
"Stanford University","California","Stanford",6,"Master of Science in Computational and Mathematical Engineering - Data Science Track","M","Institute for Computational & Mathematical Engineering","Campus","45 Credits","math, computer science","http://scpd.stanford.edu/admissions/tuition-fees",37.4317,-122.182
"Stanford University","California","Stanford",6,"Master of Science In Computer Science, Specialization in Information Management and Analytics","M","Department of Computer Science","Campus","45 units","Not Available","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602",37.4317,-122.182
"Stanford University","California","Stanford",6,"Mining Massive Data Sets Graduate Certificate","C","Center for Professional Development","Online","12-15 units","computer science","http://scpd.stanford.edu/admissions/apply-and-enroll/graduate-certificate-admissions",37.4317,-122.182
"University of California-Davis","California","Davis",3,"Hybrid MBA with Business Analytics and Technologies Concentration","M","Graduate School of Management","Campus","72 units","Not Available","http://gsm.ucdavis.edu/bay-area-mba",38.5399,-121.752
"University of California-Davis","California","Davis",3,"Master of Science in Business Analytics","M","Graduate School of Management","Campus","30 Credits","math; statistics","http://gsm.ucdavis.edu/part-time-mba-bay-area-mba-admissions",38.5399,-121.752
"University of California-Davis","California","Davis",3,"Master's of Health Informatics","M","School of Medicine","Campus","43 units","Not Available","http://gsm.ucdavis.edu/general-information/business-analytics-and-technologies",38.5399,-121.752
"University of California-Irvine","California","Irvine",3,"Business Intelligence & Data Warehousing Certificate","C","UCI Extension School","Online","9 credits","Not Available","http://unex.uci.edu/areas/it/data_warehousing/",33.6484,-117.841
"University of California-Irvine","California","Irvine",3,"Data Science Certificate","C","UCI Extension","Online","15 credits","Not Available","https://ce.uci.edu/resources/registration/",33.6484,-117.841
"University of California-Irvine","California","Irvine",3,"Predictive Analytics Certificate Program","C","UCI Extension School","Online","16 units","Not Available","http://unex.uci.edu/areas/it/data_warehousing/courses.aspx",33.6484,-117.841
"University of California-Riverside","California","Riverside",1,"Master of Science in Engineering - Data Science Specialization","M","Bourns College of Engineering","Online","36 credits","technical bachelor's degree","http://www.msol.ucr.edu/",33.9759,-117.331
"University of California-San Diego","California","La Jolla",3,"Data Mining Certificate","C","UC San Diego Extension School","Online","14.5-18.5","statistics","http://extension.ucsd.edu/programs/index.cfm?vAction=certDetail&vCertificateID=128&vStudyAreaID=14",32.8766,-117.238
"University of California-San Diego","California","La Jolla",3,"Master of Advanced Study in Data Science and Engineering","M","Departments of Computer Science and Engineering","Campus","38 units","Not Available","dead link - program appears to no longer be offered",32.8766,-117.238
"University of California-San Diego","California","La Jolla",3,"Master of Science in Business Analytics","M","Rady School of Management","Campus","50 Credits","technical bachelor's degree","http://extension.ucsd.edu/programs/index.cfm?vAction=certDetail&vCertificateID=128&vStudyAreaID=14",32.8766,-117.238
"University of Southern California","California","Los Angeles",4,"Master of Science in Business Analytics","M","Marshall School of Business","Campus","27 units","Not Available","http://www.marshall.usc.edu/msanalytics",34.0211,-118.284
"University of Southern California","California","Los Angeles",4,"Master of Science in Computer Science - Data Science","M","Viterbi School of Engineering","Campus","27 units","technical bachelor's degree","http://www.marshall.usc.edu/msanalytics/admissions",34.0211,-118.284
"University of Southern California","California","Los Angeles",4,"Master of Science in Healthcare Decision Analysis Concentration in Business Intelligence","M","School of Pharmacy","Campus","33 units / 15 months","Not Available","http://www.marshall.usc.edu/msanalytics/curriculum",34.0211,-118.284
"University of Southern California","California","Los Angeles",4,"Ph.D. in Data Sciences & Operations","M","Marshall School of Business","Campus","60 Credit Hours","Not Available","http://www.marshall.usc.edu/msanalytics/program_cost",34.0211,-118.284
"University of the Pacific","California","Stockton",1,"Master of Science in Analytics","M","School of Engineering and Computer Science","Hybrid","18 months","Not Available","http://www.pacific.edu/Academics/Schools-and-Colleges/School-of-Engineering-and-Computer-Science/Academics-/MS-Analytics-Program.html",37.9806,-121.307
"American Sentinel University","Colorado","Aurora",1,"Master of Science Business Intelligence and Analytics (MSBIA)","M","Not Available","Online","36 credits","Not Available","http://www.americansentinel.edu/management/m-s-business-intelligence",39.6766,-104.831
"Aspen University","Colorado","Denver",1,"Master of Science in Technology and Innovation - Business Intelligence and Data Management","M","Not Available","Online","36 credits","Not Available","http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management",39.7037,-104.94
"Colorado State University-Fort Collins","Colorado","Fort Collins",1,"Master of Applied Statistics (M.A.S.)","M","Department of Statistics","Online","31 credits","math, statistics","http://www.online.colostate.edu/degrees/applied-statistics/",40.5748,-105.081
"Colorado State University-Global Campus","Colorado","Greenwood Village",1,"Certificate in Business Intelligence","C","Not Available","Online","12 credits","Not Available","https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/",39.6087,-104.898
"Colorado Technical University","Colorado","Colorado Springs",1,"Doctor of Computer Science - Concentration in Big Data Analytics","M","Computer Science Department","Online","96 Credit Hours","Not Available","http://www.coloradotech.edu/degrees/doctorates/computer-science/big-data-analytics",38.8937,-104.834
"Regis University","Colorado","Denver",1,"Graduate Certificate in Data Science","C","College of Computer and Information Sciences","Online","12 credit hours","Not Available","http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx",39.7898,-105.031
"University of Colorado Boulder","Colorado","Boulder",1,"Master of Science in Business Administration-Business Analytics","M","Leeds School of Business","Campus","33 credits","Not Available","http://www.colorado.edu/leedsms/ms-programs",40.0044,-105.267
"University of Colorado Denver","Colorado","Denver",4,"Graduate Applied Statistics Certificate","C","College of Arts and Sciences: Department of Mathematical and Statistical Sciences","Campus","13 hours","statistics","http://www.ucdenver.edu/academics/colleges/CLAS/Departments/math/graduateprograms/Pages/Graduate-Statistics-Certificate.aspx",39.746,-104.999
"University of Colorado Denver","Colorado","Denver",4,"MS in Business Analytics - Big Data Specialization","M","Business School","Campus","30 credits","Not Available","http://www.ucdenver.edu/academics/colleges/CLAS/Departments/math/graduateprograms/Pages/Graduate-Statistics-Certificate.aspx",39.746,-104.999
"University of Colorado Denver","Colorado","Denver",4,"MS in Decision Sciences","M","Business School","Campus","30 hours","Not Available","http://catalog.ucdenver.edu/preview_program.php?catoid=7&poid=1329&returnto=827",39.746,-104.999
"University of Colorado Denver","Colorado","Denver",4,"MS in Information Systems - Business Intelligence","M","Business School","Online","30 credits","Not Available","http://www.ucdenver.edu/student-services/resources/CostsAndFinancing/billing/Pages/StudentBilling.aspx",39.746,-104.999
"University of Denver","Colorado","Denver",2,"Business Information and Analytics Certificate","C","Daniels College of Business","Campus","16 credits","Not Available","http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/business-information-analytics/",39.696,-104.965
"University of Denver","Colorado","Denver",2,"Master of Science in Business Analytics","M","Daniels College of Business","Campus","12-36 months, 58 credits","Not Available","http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/",39.696,-104.965
"Central Connecticut State University","Connecticut","New Britain",1,"Graduate Certificate in Data Mining","C","Department of Mathematical Sciences","Online","18 credits","statistics","http://web.ccsu.edu/datamining/graduate%20certificate.html",41.6903,-72.7701
"Quinnipiac University","Connecticut","Hamden",1,"Master of Science in Business Analytics","M","School of Business","Online","33 credits","Not Available","http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/",41.4195,-72.8955
"University of Connecticut","Connecticut","Storrs",1,"Master of Science in Business Analytics and Project Management","M","School of Business","Campus","33 hours","math","http://msbapm.business.uconn.edu/",41.8082,-72.2495
"University of New Haven","Connecticut","West Haven",1,"M.B.A. - Business Intelligence Concentration","M","College of Business","Campus","30-54 credits","Not Available","http://catalog.newhaven.edu/preview_program.php?catoid=3&poid=673&returnto=604",41.2913,-72.9615
"American University","District of Columbia","Washington",2,"Master of Science in  Analytics","M","Kogod School of Business","Online","33 credit hours","Not Available","http://www.american.edu/kogod/graduate/MS-ANLT.cfm",38.9378,-77.0901
"American University","District of Columbia","Washington",2,"Online MBA with Analytics Concentration","M","Kogod School of Business","Online","15 months","Not Available","https://onlinebusiness.american.edu/admissions/",38.9378,-77.0901
"George Washington University","District of Columbia","Washington",5,"Online MS in Management of Health Informatics and Analytics","M","Milken Institute School of Public Health","Online","45 credits","Not Available","https://publichealthonline.gwu.edu/health-informatics/",38.8987,-77.0479
"George Washington University","District of Columbia","Washington",5,"Certificate in Business Analytics","C","Institute for Integrating Statistics in Decision Sciences, (I2SDS)&com","Campus","9 credits","Not Available","https://publichealthonline.gwu.edu/health-informatics/academics/",38.8987,-77.0479
"George Washington University","District of Columbia","Washington",5,"Master of Science in Data Science","M","Columbian College of Arts and Sciences","Campus","Full-time or part-time","Not Available","https://publichealthonline.gwu.edu/health-informatics/tuition-financial-aid/",38.8987,-77.0479
"George Washington University","District of Columbia","Washington",5,"Master of Science in Information Systems Technology","M","School of Business","Campus or Online","33 units","Not Available","http://www.gwu.edu/business-analytics",38.8987,-77.0479
"George Washington University","District of Columbia","Washington",5,"MS - Master in Business Analytics","M","George Washington School of Business","Campus","33 hours","statistics, math, computer science","http://www.gwu.edu/business-analytics",38.8987,-77.0479
"Georgetown University","District of Columbia","Washington",2,"Certificate in Data Science","C","Center for Continuing & Professional Education","Campus","8 courses","math,computer science","http://scs.georgetown.edu/programs_nc/CE0124/data-analytics",38.9088,-77.0735
"Georgetown University","District of Columbia","Washington",2,"Master of Science in Analytics, Concentration in Data Sciences (MS-DS)","M","Graduate School of Arts & Sciences","Campus","30 credits","math, statistics","http://scs.georgetown.edu/admissions/how-to-apply/ccpe/",38.9088,-77.0735
"Full Sail University","Florida","Winter Park",1,"Master of Science in Business Intelligence","M","Full Sail University","Online","36 credit hours/12 months","Not Available","http://www.fullsail.edu/degrees/online/business-intelligence-masters",28.5965,-81.3013
"Florida International University","Florida","Miami",1,"Master of Science in Health Informatics and Management Systems","M","Chapman Graduate School of Business","Campus","14 months","Not Available","http://business.fiu.edu/fiubusiness/mshims.cfm",25.7571,-80.3776
